#'units:
#'  windspeed_10m: "m/s"
#'  relativehumidity_2m: "0-1"
#'  surface_pressure: "kPa"
#'  time: "iso8601"
#'  temperature_2m: "°C"
#'  shortwave_radiation: "W/m²"
#'  precipitation: "mm"
#'  diffuse_radiation: "W/m²"
#'  direct_radiation: "W/m²"
#'latitude: 48.90001
#'duration: Day
#'longitude: 2.4000092
#'timezone_abbreviation: "UTC"
#'timezone: "UTC"
#'elevation: 36.0
#'
year,dayofyear,date,duration,Tmin,Tmax,T,Precipitations,Wind,P,Rh,Ca,Ri_SW_f,Ri_SW_q,degree_days
2021,169,2021-06-18,1,18.6,25.9,22.516666666666676,1.4000000000000004,4.845416666666666,100.54708333333333,0.73,400.0,271.7916666666667,23.4828,12.516666666666667
2021,170,2021-06-19,1,17.8,24.3,20.75416666666667,7.1,2.0704166666666666,100.58208333333333,0.7791666666666667,400.0,128.125,11.07,10.75416666666667
2021,171,2021-06-20,1,16.4,24.1,20.095833333333335,3.4000000000000004,2.521666666666667,100.09666666666664,0.7670833333333335,400.0,202.45833333333334,17.4924,10.095833333333335
2021,172,2021-06-21,1,16.7,23.8,19.629166666666666,9.7,2.1479166666666667,100.12083333333335,0.765,400.0,270.4583333333333,23.367600000000003,9.629166666666666
2021,173,2021-06-22,1,13.6,18.9,16.308333333333334,6.699999999999999,3.6991666666666654,100.72125000000001,0.8683333333333332,400.0,165.04166666666666,14.2596,6.308333333333333
2021,174,2021-06-23,1,13.2,15.8,14.379166666666665,0.0,3.967083333333333,101.37583333333338,0.7983333333333335,400.0,101.33333333333333,8.7552,4.379166666666667
2021,175,2021-06-24,1,11.7,18.9,15.258333333333328,0.0,3.1283333333333325,101.4829166666667,0.7274999999999999,400.0,206.875,17.874000000000002,5.258333333333334
2021,176,2021-06-25,1,11.3,20.2,16.529166666666665,2.9,2.00625,101.28875000000001,0.8062499999999999,400.0,160.875,13.899600000000001,6.529166666666666
2021,177,2021-06-26,1,15.4,21.9,18.5875,7.0,2.0700000000000003,100.99416666666666,0.8154166666666666,400.0,151.5,13.0896,8.5875
2021,178,2021-06-27,1,16.7,22.5,19.220833333333335,13.6,2.4054166666666665,100.65874999999998,0.8312500000000002,400.0,135.54166666666666,11.7108,9.220833333333335
2021,179,2021-06-28,1,13.7,23.5,18.5,15.3,2.4712499999999995,100.7120833333333,0.8091666666666667,400.0,236.83333333333334,20.462400000000002,8.5
2021,180,2021-06-29,1,12.9,18.6,15.679166666666667,6.1000000000000005,2.0066666666666673,100.7341666666667,0.8600000000000002,400.0,135.5,11.7072,5.679166666666666
2021,181,2021-06-30,1,13.3,18.8,15.958333333333336,4.7,3.3970833333333332,100.97124999999998,0.8166666666666665,400.0,136.41666666666666,11.7864,5.958333333333332
2021,182,2021-07-01,1,12.9,20.9,16.775000000000002,0.30000000000000004,2.1816666666666666,101.17875000000002,0.7933333333333333,400.0,156.29166666666666,13.5036,6.7749999999999995
2021,183,2021-07-02,1,12.5,24.2,19.470833333333335,0.5,1.6279166666666665,101.02291666666666,0.7299999999999999,400.0,250.16666666666666,21.6144,9.47083333333333
2021,184,2021-07-03,1,16.7,22.9,19.858333333333334,1.0,2.455833333333334,100.75625000000001,0.73875,400.0,182.54166666666666,15.771600000000001,9.858333333333334
2021,185,2021-07-04,1,14.9,21.7,18.020833333333332,2.8000000000000003,3.637083333333333,100.43624999999999,0.8350000000000003,400.0,205.16666666666666,17.7264,8.020833333333332
2021,186,2021-07-05,1,15.4,22.1,18.5125,6.8,3.7929166666666663,100.13250000000001,0.7791666666666667,400.0,132.33333333333334,11.4336,8.512500000000001
2021,187,2021-07-06,1,15.6,21.2,18.512500000000003,1.3,6.182916666666664,100.15875,0.6724999999999999,400.0,259.9166666666667,22.4568,8.512500000000001
2021,188,2021-07-07,1,13.8,21.7,17.754166666666666,0.1,3.4224999999999994,100.88875000000002,0.6854166666666667,400.0,243.25,21.0168,7.754166666666667
